P,X,Y,XY
1,278,230,"278, 230, 324, 185"
1,290,186,"290, 186, 308, 230"
1,324,185,"324, 185, 325, 185"
1,308,230,"308, 230, 355, 185"
2,325,185,"325, 185, 344, 233"
2,355,185,"355, 185, 310, 233"
2,344,233,"344, 233, 355, 185"
2,310,233,"310, 233, 388, 186"
3,355,185,"355, 185, 374, 233"
3,388,186,"388, 186, 345, 230"
3,374,233,"374, 233, 389, 185"
3,345,230,"345, 230, 421, 184"
4,389,185,"389, 185, 412, 232"
4,421,184,"421, 184, 375, 231"
4,412,232,"412, 232, 421, 187"
4,375,231,"375, 231, 452, 190"
5,421,187,"421, 187, 441, 232"
5,452,190,"452, 190, 409, 231"
5,441,232,"441, 232, 470, 184"
5,409,231,"409, 231, 503, 187"
6,470,184,"470, 184, 492, 230"
6,503,187,"503, 187, 461, 229"
6,492,230,"492, 230, 505, 186"
6,461,229,"461, 229, 535, 188"
7,505,186,"505, 186, 530, 229"
7,535,188,"535, 188, 500, 228"
7,530,229,"530, 229, 538, 186"
7,500,228,"500, 228, 567, 186"
8,538,186,"538, 186, 562, 232"
8,567,186,"567, 186, 534, 232"
8,562,232,"562, 232, 571, 186"
8,534,232,"534, 232, 599, 184"
9,571,186,"571, 186, 597, 230"
9,599,184,"599, 184, 565, 230"
9,597,230,"597, 230, 603, 186"
9,565,230,"565, 230, 634, 188"
10,603,186,"603, 186, 631, 227"
10,634,188,"634, 188, 598, 230"
10,631,227,"631, 227, 634, 187"
10,598,230,"598, 230, 664, 188"
11,634,187,"634, 187, 664, 226"
11,664,188,"664, 188, 632, 224"
11,664,226,"664, 226, 669, 186"
11,632,224,"632, 224, 699, 188"
12,669,186,"669, 186, 699, 227"
12,699,188,"699, 188, 665, 225"
12,699,227,"699, 227, 705, 184"
12,665,225,"665, 225, 734, 185"
13,705,184,"705, 184, 734, 222"
13,734,185,"734, 185, 702, 222"
13,734,222,"734, 222, 736, 182"
13,702,222,"702, 222, 772, 183"
14,736,182,"736, 182, 769, 223"
14,772,183,"772, 183, 735, 225"
14,769,223,"769, 223, 775, 183"
14,735,225,"735, 225, 807, 182"
15,775,183,"775, 183, 805, 225"
15,807,182,"807, 182, 775, 225"
15,805,225,"805, 225, 807, 183"
15,775,225,"775, 225, 840, 185"
16,807,183,"807, 183, 842, 222"
16,840,185,"840, 185, 812, 220"
16,842,222,"842, 222, 844, 183"
16,812,220,"812, 220, 879, 188"
17,844,183,"844, 183, 876, 219"
17,879,188,"879, 188, 846, 222"
17,876,219,"876, 219, 880, 183"
17,846,222,"846, 222, 915, 182"
18,880,183,"880, 183, 915, 219"
18,915,182,"915, 182, 886, 219"
18,915,219,"915, 219, 918, 183"
18,886,219,"886, 219, 955, 182"
19,918,183,"918, 183, 956, 222"
19,955,182,"955, 182, 917, 222"
19,956,222,"956, 222, 956, 178"
19,917,222,"917, 222, 989, 177"
20,956,178,"956, 178, 992, 222"
20,989,177,"989, 177, 962, 222"
20,992,222,"992, 222, 987, 180"
20,962,222,"962, 222, 1022, 181"
21,987,180,"987, 180, 1027, 219"
21,1022,181,"1022, 181, 993, 218"
21,1027,219,"1027, 219, 1022, 178"
21,993,218,"993, 218, 1057, 175"
22,1022,178,"1022, 178, 1068, 220"
22,1057,175,"1057, 175, 1029, 220"
22,1068,220,"1068, 220, 226, 307"
22,1029,220,"1029, 220, 243, 267"
23,226,307,"226, 307, 280, 268"
23,243,267,"243, 267, 260, 310"
23,280,268,"280, 268, 259, 310"
23,260,310,"260, 310, 278, 265"
24,259,310,"259, 310, 312, 270"
24,278,265,"278, 265, 296, 306"
24,312,270,"312, 270, 295, 304"
24,296,306,"296, 306, 312, 266"
25,295,304,"295, 304, 344, 268"
25,312,266,"312, 266, 330, 312"
25,344,268,"344, 268, 335, 310"
25,330,312,"330, 312, 347, 268"
26,335,310,"335, 310, 386, 270"
26,347,268,"347, 268, 371, 310"
26,386,270,"386, 270, 377, 306"
26,371,310,"371, 310, 387, 268"
27,377,306,"377, 306, 424, 270"
27,387,268,"387, 268, 406, 312"
27,424,270,"424, 270, 426, 305"
27,406,312,"406, 312, 431, 269"
28,426,305,"426, 305, 471, 270"
28,431,269,"431, 269, 460, 310"
28,471,270,"471, 270, 458, 308"
28,460,310,"460, 310, 471, 267"
29,458,308,"458, 308, 503, 269"
29,471,267,"471, 267, 498, 311"
29,503,269,"503, 269, 503, 305"
29,498,311,"498, 311, 510, 264"
30,503,305,"503, 305, 546, 264"
30,510,264,"510, 264, 537, 306"
30,546,264,"546, 264, 537, 307"
30,537,306,"537, 306, 542, 266"
31,537,307,"537, 307, 580, 269"
31,542,266,"542, 266, 573, 304"
31,580,269,"580, 269, 573, 305"
31,573,304,"573, 304, 578, 266"
32,573,305,"573, 305, 618, 263"
32,578,266,"578, 266, 611, 308"
32,618,263,"618, 263, 614, 306"
32,611,308,"611, 308, 619, 263"
33,614,306,"614, 306, 655, 263"
33,619,263,"619, 263, 650, 307"
33,655,263,"655, 263, 648, 307"
33,650,307,"650, 307, 653, 266"
34,648,307,"648, 307, 688, 264"
34,653,266,"653, 266, 687, 307"
34,688,264,"688, 264, 689, 309"
34,687,307,"687, 307, 692, 260"
35,689,309,"689, 309, 726, 262"
35,692,260,"692, 260, 727, 307"
35,726,262,"726, 262, 728, 305"
35,727,307,"727, 307, 731, 265"
36,728,305,"728, 305, 766, 264"
36,731,265,"731, 265, 765, 307"
36,766,264,"766, 264, 763, 305"
36,765,307,"765, 307, 766, 261"
37,763,305,"763, 305, 807, 260"
37,766,261,"766, 261, 804, 306"
37,807,260,"807, 260, 809, 306"
37,804,306,"804, 306, 809, 261"
38,809,306,"809, 306, 846, 254"
38,809,261,"809, 261, 848, 303"
38,846,254,"846, 254, 849, 305"
38,848,303,"848, 303, 850, 257"
39,849,305,"849, 305, 885, 257"
39,850,257,"850, 257, 889, 310"
39,885,257,"885, 257, 888, 307"
39,889,310,"889, 310, 885, 258"
40,888,307,"888, 307, 925, 254"
40,885,258,"885, 258, 931, 306"
40,925,254,"925, 254, 932, 307"
40,931,306,"931, 306, 928, 261"
41,932,307,"932, 307, 960, 257"
41,928,261,"928, 261, 969, 305"
41,960,257,"960, 257, 971, 309"
41,969,305,"969, 305, 966, 261"
42,971,309,"971, 309, 1001, 255"
42,966,261,"966, 261, 1014, 303"
42,1001,255,"1001, 255, 1017, 307"
42,1014,303,"1014, 303, 1011, 258"
43,1017,307,"1017, 307, 1042, 256"
43,1011,258,"1011, 258, 1054, 304"
43,1042,256,"1042, 256, 1055, 303"
43,1054,304,"1054, 304, 1051, 259"
44,1055,303,"1055, 303, 1083, 258"
44,1051,259,"1051, 259, 1098, 306"
44,1083,258,"1083, 258, 202, 361"
44,1098,306,"1098, 306, 218, 304"
45,202,361,"202, 361, 249, 309"
45,218,304,"218, 304, 240, 359"
45,249,309,"249, 309, 234, 362"
45,240,359,"240, 359, 253, 305"
46,234,362,"234, 362, 291, 305"
46,253,305,"253, 305, 275, 363"
46,291,305,"291, 305, 272, 360"
46,275,363,"275, 363, 285, 301"
47,272,360,"272, 360, 323, 302"
47,285,301,"285, 301, 304, 361"
47,323,302,"323, 302, 307, 365"
47,304,361,"304, 361, 322, 308"
48,307,365,"307, 365, 359, 308"
48,322,308,"322, 308, 346, 364"
48,359,308,"359, 308, 349, 364"
48,346,364,"346, 364, 359, 306"
49,349,364,"349, 364, 396, 306"
49,359,306,"359, 306, 383, 362"
49,396,306,"396, 306, 410, 365"
49,383,362,"383, 362, 418, 307"
50,410,365,"410, 365, 449, 308"
50,418,307,"418, 307, 442, 368"
50,449,308,"449, 308, 443, 366"
50,442,368,"442, 368, 456, 306"
51,443,366,"443, 366, 497, 309"
51,456,306,"456, 306, 482, 363"
51,497,309,"497, 309, 481, 364"
51,482,363,"482, 363, 495, 310"
52,481,364,"481, 364, 529, 309"
52,495,310,"495, 310, 518, 365"
52,529,309,"529, 309, 535, 304"
52,518,365,"518, 365, 571, 308"
53,535,304,"535, 304, 563, 362"
53,571,308,"571, 308, 523, 364"
53,563,362,"563, 362, 565, 364"
53,523,364,"523, 364, 573, 310"
54,565,364,"565, 364, 604, 311"
54,573,310,"573, 310, 604, 363"
54,604,311,"604, 311, 606, 362"
54,604,363,"604, 363, 612, 310"
55,606,362,"606, 362, 648, 312"
55,612,310,"612, 310, 644, 364"
55,648,312,"648, 312, 643, 363"
55,644,364,"644, 364, 650, 315"
56,643,363,"643, 363, 685, 312"
56,650,315,"650, 315, 685, 361"
56,685,312,"685, 312, 690, 361"
56,685,361,"685, 361, 691, 312"
57,690,361,"690, 361, 724, 310"
57,691,312,"691, 312, 721, 361"
57,724,310,"724, 310, 725, 359"
57,721,361,"721, 361, 728, 311"
58,725,359,"725, 359, 766, 315"
58,728,311,"728, 311, 764, 362"
58,766,315,"766, 315, 768, 362"
58,764,362,"764, 362, 767, 313"
59,768,362,"768, 362, 804, 310"
59,767,313,"767, 313, 802, 360"
59,804,310,"804, 310, 808, 358"
59,802,360,"802, 360, 810, 308"
60,808,358,"808, 358, 845, 310"
60,810,308,"810, 308, 848, 360"
60,845,310,"845, 310, 854, 362"
60,848,360,"848, 360, 851, 311"
61,854,362,"854, 362, 888, 312"
61,851,311,"851, 311, 891, 356"
61,888,312,"888, 312, 895, 359"
61,891,356,"891, 356, 888, 314"
62,895,359,"895, 359, 929, 311"
62,888,314,"888, 314, 934, 356"
62,929,311,"929, 311, 937, 362"
62,934,356,"934, 356, 934, 314"
63,937,362,"937, 362, 971, 309"
63,934,314,"934, 314, 976, 356"
63,971,309,"971, 309, 980, 360"
63,976,356,"976, 356, 972, 309"
64,980,360,"980, 360, 1015, 307"
64,972,309,"972, 309, 1022, 358"
64,1015,307,"1015, 307, 1023, 360"
64,1022,358,"1022, 358, 1017, 312"
65,1023,360,"1023, 360, 1056, 311"
65,1017,312,"1017, 312, 1062, 357"
65,1056,311,"1056, 311, 1067, 358"
65,1062,357,"1062, 357, 1059, 312"
66,1067,358,"1067, 358, 1099, 304"
66,1059,312,"1059, 312, 1113, 358"
66,1099,304,"1099, 304, 127, 470"
66,1113,358,"1113, 358, 150, 413"
67,127,470,"127, 470, 185, 416"
67,150,413,"150, 413, 167, 473"
67,185,416,"185, 416, 165, 473"
67,167,473,"167, 473, 184, 417"
68,165,473,"165, 473, 223, 417"
68,184,417,"184, 417, 211, 469"
68,223,417,"223, 417, 211, 474"
68,211,469,"211, 469, 222, 418"
69,211,474,"211, 474, 268, 417"
69,222,418,"222, 418, 253, 473"
69,268,417,"268, 417, 254, 472"
69,253,473,"253, 473, 266, 416"
70,254,472,"254, 472, 307, 416"
70,266,416,"266, 416, 295, 470"
70,307,416,"307, 416, 295, 474"
70,295,470,"295, 470, 306, 424"
71,295,474,"295, 474, 349, 421"
71,306,424,"306, 424, 327, 475"
71,349,421,"349, 421, 362, 471"
71,327,475,"327, 475, 371, 420"
72,362,471,"362, 471, 412, 420"
72,371,420,"371, 420, 400, 471"
72,412,420,"412, 420, 405, 472"
72,400,471,"400, 471, 408, 420"
73,405,472,"405, 472, 457, 416"
73,408,420,"408, 420, 447, 471"
73,457,416,"457, 416, 446, 471"
73,447,471,"447, 471, 458, 416"
74,446,471,"446, 471, 508, 418"
74,458,416,"458, 416, 490, 477"
74,508,418,"508, 418, 492, 472"
74,490,477,"490, 477, 509, 418"
75,492,472,"492, 472, 545, 418"
75,509,418,"509, 418, 535, 475"
75,545,418,"545, 418, 535, 478"
75,535,475,"535, 475, 542, 420"
76,535,478,"535, 478, 588, 420"
76,542,420,"542, 420, 578, 472"
76,588,420,"588, 420, 580, 477"
76,578,472,"578, 472, 584, 422"
77,580,477,"580, 477, 626, 419"
77,584,422,"584, 422, 625, 476"
77,626,419,"626, 419, 625, 481"
77,625,476,"625, 476, 631, 425"
78,625,481,"625, 481, 672, 418"
78,631,425,"631, 425, 667, 471"
78,672,418,"672, 418, 669, 475"
78,667,471,"667, 471, 674, 419"
79,669,475,"669, 475, 717, 421"
79,674,419,"674, 419, 716, 470"
79,717,421,"717, 421, 721, 479"
79,716,470,"716, 470, 718, 418"
80,721,479,"721, 479, 761, 417"
80,718,418,"718, 418, 764, 472"
80,761,417,"761, 417, 764, 475"
80,764,472,"764, 472, 763, 422"
81,764,475,"764, 475, 809, 417"
81,763,422,"763, 422, 809, 476"
81,809,417,"809, 417, 811, 477"
81,809,476,"809, 476, 811, 423"
82,811,477,"811, 477, 853, 421"
82,811,423,"811, 423, 858, 480"
82,853,421,"853, 421, 863, 482"
82,858,480,"858, 480, 856, 423"
83,863,482,"863, 482, 899, 422"
83,856,423,"856, 423, 909, 480"
83,899,422,"899, 422, 909, 480"
83,909,480,"909, 480, 903, 425"
84,909,480,"909, 480, 946, 421"
84,903,425,"903, 425, 957, 479"
84,946,421,"946, 421, 956, 476"
84,957,479,"957, 479, 952, 423"
85,956,476,"956, 476, 990, 418"
85,952,423,"952, 423, 1004, 482"
85,990,418,"990, 418, 1009, 485"
85,1004,482,"1004, 482, 997, 420"
86,1009,485,"1009, 485, 1037, 419"
86,997,420,"997, 420, 1054, 480"
86,1037,419,"1037, 419, 1056, 476"
86,1054,480,"1054, 480, 1045, 422"
87,1056,476,"1056, 476, 1080, 417"
87,1045,422,"1045, 422, 1098, 481"
87,1080,417,"1080, 417, 1102, 475"
87,1098,481,"1098, 481, 1089, 426"
88,1102,475,"1102, 475, 1128, 416"
88,1089,426,"1089, 426, 1151, 479"
88,1128,416,"1128, 416, 42, 555"
88,1151,479,"1151, 479, 71, 501"
89,42,555,"42, 555, 110, 506"
89,71,501,"71, 501, 83, 555"
